antecedents,consequent,support,confidence,zhangs_metric,rule_coverage
"['demand_Node_2__demand_Node_2__(266.4, 295.2]', 'flow_Link_32__flow_Link_32__(-579.601, -547.2]']",class__1,0.074,1.0,0.605,0.074
"['demand_Node_2__demand_Node_2__(295.2, 439.2]', 'flow_Link_32__flow_Link_32__(-522.0, -54.0]']",class__0,0.064,1.0,0.47,0.064
"['demand_Node_2__demand_Node_2__(295.2, 439.2]', 'flow_Link_32__flow_Link_32__(-579.601, -547.2]']",class__1,0.112,1.0,0.631,0.112
"['demand_Node_2__demand_Node_2__(183.6, 234.0]', 'pressure_Node_10__pressure_Node_10__(64.84, 66.914]']",class__0,0.087,0.705,0.235,0.124
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'pressure_Node_10__pressure_Node_10__(63.248, 64.84]']",class__0,0.087,0.86,0.388,0.101
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'pressure_Node_10__pressure_Node_10__(64.84, 66.914]']",class__0,0.045,0.996,0.458,0.045
"['demand_Node_2__demand_Node_2__(266.4, 295.2]', 'pressure_Node_10__pressure_Node_10__(48.012, 61.122]']",class__1,0.047,0.981,0.58,0.048
"['demand_Node_2__demand_Node_2__(266.4, 295.2]', 'pressure_Node_10__pressure_Node_10__(63.248, 64.84]']",class__0,0.055,0.99,0.46,0.056
"['demand_Node_2__demand_Node_2__(295.2, 439.2]', 'pressure_Node_10__pressure_Node_10__(48.012, 61.122]']",class__1,0.115,0.85,0.558,0.136
"['demand_Node_2__demand_Node_2__(295.2, 439.2]', 'pressure_Node_10__pressure_Node_10__(61.122, 63.248]']",class__0,0.045,0.907,0.402,0.049
"['demand_Node_2__demand_Node_2__(183.6, 234.0]', 'demand_Node_24__demand_Node_24__(219.6, 248.4]']",class__0,0.024,0.721,0.231,0.033
"['flow_Link_13__flow_Link_13__(187.2, 237.6]', 'flow_Link_17__flow_Link_17__(-446.4, -342.0]']",class__0,0.108,0.726,0.267,0.148
"['flow_Link_13__flow_Link_13__(187.2, 237.6]', 'flow_Link_17__flow_Link_17__(-522.0, -446.4]']",class__0,0.037,1.0,0.457,0.037
"['flow_Link_13__flow_Link_13__(237.6, 277.2]', 'flow_Link_17__flow_Link_17__(-522.0, -446.4]']",class__0,0.127,0.939,0.466,0.135
"['flow_Link_13__flow_Link_13__(237.6, 277.2]', 'flow_Link_17__flow_Link_17__(-612.0, -522.0]']",class__0,0.023,1.0,0.45,0.023
"['flow_Link_13__flow_Link_13__(-226.80100000000002, 187.2]', 'demand_Node_7__demand_Node_7__(280.8, 381.6]']",class__0,0.054,0.918,0.414,0.059
"['flow_Link_13__flow_Link_13__(187.2, 237.6]', 'demand_Node_7__demand_Node_7__(280.8, 381.6]']",class__0,0.072,0.9,0.411,0.08
"['flow_Link_13__flow_Link_13__(187.2, 237.6]', 'demand_Node_7__demand_Node_7__(381.6, 435.6]']",class__0,0.066,1.0,0.471,0.066
"['flow_Link_13__flow_Link_13__(237.6, 277.2]', 'demand_Node_7__demand_Node_7__(381.6, 435.6]']",class__0,0.065,0.997,0.469,0.065
"['flow_Link_13__flow_Link_13__(237.6, 277.2]', 'demand_Node_7__demand_Node_7__(435.6, 486.0]']",class__0,0.07,1.0,0.473,0.07
"['flow_Link_13__flow_Link_13__(277.2, 356.4]', 'demand_Node_7__demand_Node_7__(486.0, 720.0]']",class__0,0.052,0.945,0.431,0.055
"['flow_Link_13__flow_Link_13__(187.2, 237.6]', 'pressure_Node_20__pressure_Node_20__(64.853, 66.435]']",class__0,0.124,0.85,0.399,0.145
"['flow_Link_13__flow_Link_13__(237.6, 277.2]', 'pressure_Node_20__pressure_Node_20__(59.218, 63.33]']",class__1,0.023,0.972,0.561,0.024
"['flow_Link_13__flow_Link_13__(237.6, 277.2]', 'pressure_Node_20__pressure_Node_20__(63.33, 64.853]']",class__0,0.107,0.911,0.436,0.117
"['flow_Link_13__flow_Link_13__(237.6, 277.2]', 'pressure_Node_20__pressure_Node_20__(64.853, 66.435]']",class__0,0.044,1.0,0.46,0.044
"['flow_Link_13__flow_Link_13__(277.2, 356.4]', 'pressure_Node_20__pressure_Node_20__(63.33, 64.853]']",class__0,0.031,1.0,0.454,0.031
"['flow_Link_13__flow_Link_13__(187.2, 237.6]', 'flow_Link_9__flow_Link_9__(655.2, 936.0]']",class__0,0.096,0.873,0.402,0.11
"['flow_Link_13__flow_Link_13__(187.2, 237.6]', 'flow_Link_9__flow_Link_9__(936.0, 1076.4]']",class__0,0.049,1.0,0.462,0.049
"['flow_Link_13__flow_Link_13__(237.6, 277.2]', 'flow_Link_9__flow_Link_9__(1076.4, 1227.6]']",class__0,0.051,1.0,0.463,0.051
"['flow_Link_13__flow_Link_13__(237.6, 277.2]', 'flow_Link_9__flow_Link_9__(936.0, 1076.4]']",class__0,0.099,1.0,0.488,0.099
"['flow_Link_13__flow_Link_13__(-226.80100000000002, 187.2]', 'flow_Link_26__flow_Link_26__(-154.8, -100.8]']",class__0,0.079,1.0,0.478,0.079
"['flow_Link_13__flow_Link_13__(-226.80100000000002, 187.2]', 'flow_Link_26__flow_Link_26__(-244.8, -154.8]']",class__0,0.095,1.0,0.486,0.095
"['flow_Link_13__flow_Link_13__(187.2, 237.6]', 'flow_Link_26__flow_Link_26__(-100.8, 104.4]']",class__1,0.069,1.0,0.602,0.069
"['flow_Link_13__flow_Link_13__(187.2, 237.6]', 'flow_Link_26__flow_Link_26__(-313.2, -244.8]']",class__0,0.133,1.0,0.507,0.133
"['flow_Link_13__flow_Link_13__(237.6, 277.2]', 'flow_Link_26__flow_Link_26__(-100.8, 104.4]']",class__1,0.033,1.0,0.58,0.033
"['flow_Link_13__flow_Link_13__(237.6, 277.2]', 'flow_Link_26__flow_Link_26__(-313.2, -244.8]']",class__0,0.053,1.0,0.465,0.053
"['flow_Link_13__flow_Link_13__(237.6, 277.2]', 'flow_Link_26__flow_Link_26__(-572.401, -313.2]']",class__0,0.098,1.0,0.487,0.098
"['flow_Link_13__flow_Link_13__(277.2, 356.4]', 'flow_Link_26__flow_Link_26__(-100.8, 104.4]']",class__1,0.081,1.0,0.61,0.081
"['flow_Link_13__flow_Link_13__(277.2, 356.4]', 'flow_Link_26__flow_Link_26__(-572.401, -313.2]']",class__0,0.084,1.0,0.48,0.084
"['flow_Link_13__flow_Link_13__(187.2, 237.6]', 'flow_Link_23__flow_Link_23__(1209.6, 1537.2]']",class__0,0.127,1.0,0.504,0.127
"['flow_Link_13__flow_Link_13__(187.2, 237.6]', 'flow_Link_23__flow_Link_23__(2322.0, 3020.4]']",class__1,0.055,1.0,0.593,0.055
"['flow_Link_13__flow_Link_13__(237.6, 277.2]', 'flow_Link_23__flow_Link_23__(1209.6, 1537.2]']",class__0,0.072,1.0,0.474,0.072
"['flow_Link_13__flow_Link_13__(237.6, 277.2]', 'flow_Link_23__flow_Link_23__(1537.2, 2322.0]']",class__0,0.079,1.0,0.478,0.079
"['flow_Link_13__flow_Link_13__(237.6, 277.2]', 'flow_Link_23__flow_Link_23__(2322.0, 3020.4]']",class__1,0.033,1.0,0.58,0.033
"['flow_Link_13__flow_Link_13__(277.2, 356.4]', 'flow_Link_23__flow_Link_23__(1537.2, 2322.0]']",class__0,0.085,1.0,0.48,0.085
"['flow_Link_13__flow_Link_13__(277.2, 356.4]', 'flow_Link_23__flow_Link_23__(2322.0, 3020.4]']",class__1,0.105,1.0,0.626,0.105
"['flow_Link_13__flow_Link_13__(-226.80100000000002, 187.2]', 'flow_Link_11__flow_Link_11__(280.8, 406.8]']",class__0,0.052,1.0,0.464,0.052
"['flow_Link_13__flow_Link_13__(187.2, 237.6]', 'flow_Link_11__flow_Link_11__(280.8, 406.8]']",class__0,0.075,0.958,0.45,0.079
"['flow_Link_13__flow_Link_13__(187.2, 237.6]', 'flow_Link_11__flow_Link_11__(406.8, 464.4]']",class__0,0.065,1.0,0.47,0.065
