antecedents,consequent,support,confidence,zhangs_metric,rule_coverage
"['flow_Link_16__(79.199, 223.2]', 'flow_Link_19__(-1677.6009999999999, -1029.6]']",leak_label__class_0,0.0,1.0,0.44,0.0
"['flow_Link_16__(295.2, 486.0]', 'flow_Link_18__(-1011.6, -781.2]']",leak_label__class_1,0.08,1.0,0.609,0.08
"['flow_Link_16__(295.2, 486.0]', 'flow_Link_18__(-781.2, -280.8]']",leak_label__class_1,0.001,1.0,0.561,0.001
"['flow_Link_16__(79.199, 223.2]', 'flow_Link_18__(-1011.6, -781.2]']",leak_label__class_0,0.091,1.0,0.484,0.091
"['flow_Link_16__(79.199, 223.2]', 'flow_Link_18__(-1645.201, -1011.6]']",leak_label__class_0,0.0,1.0,0.44,0.0
"['flow_Link_16__(295.2, 486.0]', 'flow_Link_24__(1098.0, 1857.6]']",leak_label__class_1,0.286,0.948,0.768,0.302
"['flow_Link_16__(295.2, 486.0]', 'flow_Link_24__(313.199, 842.4]']",leak_label__class_1,0.001,1.0,0.561,0.001
"['flow_Link_16__(295.2, 486.0]', 'flow_Link_24__(842.4, 1098.0]']",leak_label__class_1,0.028,1.0,0.577,0.028
"['flow_Link_16__(79.199, 223.2]', 'flow_Link_24__(1098.0, 1857.6]']",leak_label__class_0,0.0,0.0,0.0,0.0
"['flow_Link_16__(79.199, 223.2]', 'flow_Link_24__(313.199, 842.4]']",leak_label__class_0,0.255,0.896,0.524,0.284
"['flow_Link_16__(79.199, 223.2]', 'flow_Link_24__(842.4, 1098.0]']",leak_label__class_0,0.055,1.0,0.465,0.055
"['flow_Link_16__(223.2, 295.2]', 'flow_Link_30__(-442.801, -284.4]']",leak_label__class_1,0.091,1.0,0.616,0.091
"['flow_Link_16__(223.2, 295.2]', 'flow_Link_30__(151.2, 262.8]']",leak_label__class_0,0.234,1.0,0.574,0.234
"['flow_Link_16__(295.2, 486.0]', 'flow_Link_30__(-442.801, -284.4]']",leak_label__class_1,0.22,1.0,0.718,0.22
