antecedents,consequent,support,confidence,zhangs_metric,rule_coverage
"['demand_Node_2__demand_Node_2__(266.4, 295.2]', 'flow_Link_26__flow_Link_26__(-572.401, -313.2]']",class__0.0,0.082,0.977,0.465,0.084
"['demand_Node_2__demand_Node_2__(295.2, 439.2]', 'flow_Link_26__flow_Link_26__(-244.8, -154.8]']",class__0.0,0.0,0.0,-1.0,0.083
"['demand_Node_2__demand_Node_2__(295.2, 439.2]', 'flow_Link_26__flow_Link_26__(-313.2, -244.8]']",class__0.0,0.001,0.091,-0.839,0.012
"['demand_Node_2__demand_Node_2__(295.2, 439.2]', 'flow_Link_26__flow_Link_26__(-572.401, -313.2]']",class__0.0,0.068,0.987,0.465,0.069
"['demand_Node_2__demand_Node_2__(183.6, 234.0]', 'flow_Link_23__flow_Link_23__(1209.6, 1537.2]']",class__0.0,0.058,0.952,0.438,0.061
"['demand_Node_2__demand_Node_2__(183.6, 234.0]', 'flow_Link_23__flow_Link_23__(1537.2, 2322.0]']",class__0.0,0.0,0.357,-0.363,0.001
"['demand_Node_2__demand_Node_2__(183.6, 234.0]', 'flow_Link_23__flow_Link_23__(2322.0, 3020.4]']",class__1.0,0.07,1.0,0.602,0.07
"['demand_Node_2__demand_Node_2__(183.6, 234.0]', 'flow_Link_23__flow_Link_23__(478.79900000000004, 1209.6]']",class__0.0,0.065,0.991,0.465,0.065
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'flow_Link_23__flow_Link_23__(1209.6, 1537.2]']",class__0.0,0.113,0.988,0.489,0.114
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'flow_Link_23__flow_Link_23__(1537.2, 2322.0]']",class__0.0,0.022,0.849,0.349,0.025
"['demand_Node_2__demand_Node_2__(266.4, 295.2]', 'flow_Link_23__flow_Link_23__(1209.6, 1537.2]']",class__0.0,0.026,1.0,0.452,0.026
"['demand_Node_2__demand_Node_2__(266.4, 295.2]', 'flow_Link_23__flow_Link_23__(1537.2, 2322.0]']",class__0.0,0.076,0.975,0.461,0.078
"['demand_Node_2__demand_Node_2__(266.4, 295.2]', 'flow_Link_23__flow_Link_23__(2322.0, 3020.4]']",class__1.0,0.02,1.0,0.572,0.02
"['demand_Node_2__demand_Node_2__(295.2, 439.2]', 'flow_Link_23__flow_Link_23__(1537.2, 2322.0]']",class__0.0,0.069,0.996,0.47,0.069
"['demand_Node_2__demand_Node_2__(295.2, 439.2]', 'flow_Link_23__flow_Link_23__(478.79900000000004, 1209.6]']",class__0.0,0.0,0.0,0.0,0.0
"['demand_Node_2__demand_Node_2__(183.6, 234.0]', 'flow_Link_11__flow_Link_11__(280.8, 406.8]']",class__0.0,0.093,0.646,0.155,0.144
"['demand_Node_2__demand_Node_2__(183.6, 234.0]', 'flow_Link_11__flow_Link_11__(406.8, 464.4]']",class__0.0,0.023,0.689,0.193,0.033
"['demand_Node_2__demand_Node_2__(183.6, 234.0]', 'flow_Link_11__flow_Link_11__(464.4, 522.0]']",class__0.0,0.001,0.571,0.02,0.001
"['demand_Node_2__demand_Node_2__(183.6, 234.0]', 'flow_Link_11__flow_Link_11__(522.0, 2980.8]']",class__0.0,0.0,0.019,-0.966,0.004
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'flow_Link_11__flow_Link_11__(280.8, 406.8]']",class__0.0,0.027,0.659,0.156,0.04
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'flow_Link_11__flow_Link_11__(406.8, 464.4]']",class__0.0,0.083,0.701,0.228,0.118
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'flow_Link_11__flow_Link_11__(464.4, 522.0]']",class__0.0,0.027,0.57,0.018,0.047
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'flow_Link_11__flow_Link_11__(522.0, 2980.8]']",class__0.0,0.001,0.081,-0.856,0.007
"['demand_Node_2__demand_Node_2__(266.4, 295.2]', 'flow_Link_11__flow_Link_11__(280.8, 406.8]']",class__0.0,0.001,0.55,-0.018,0.002
"['demand_Node_2__demand_Node_2__(266.4, 295.2]', 'flow_Link_11__flow_Link_11__(406.8, 464.4]']",class__0.0,0.026,0.613,0.091,0.042
"['demand_Node_2__demand_Node_2__(266.4, 295.2]', 'flow_Link_11__flow_Link_11__(464.4, 522.0]']",class__0.0,0.063,0.568,0.014,0.112
"['demand_Node_2__demand_Node_2__(266.4, 295.2]', 'flow_Link_11__flow_Link_11__(522.0, 2980.8]']",class__0.0,0.012,0.332,-0.417,0.037
"['demand_Node_2__demand_Node_2__(295.2, 439.2]', 'flow_Link_11__flow_Link_11__(464.4, 522.0]']",class__0.0,0.022,0.52,-0.075,0.043
"['demand_Node_2__demand_Node_2__(295.2, 439.2]', 'flow_Link_11__flow_Link_11__(522.0, 2980.8]']",class__0.0,0.046,0.317,-0.472,0.144
"['demand_Node_2__demand_Node_2__(183.6, 234.0]', 'demand_Node_3__demand_Node_3__(158.4, 230.4]']",class__0.0,0.089,0.624,0.12,0.142
"['demand_Node_2__demand_Node_2__(183.6, 234.0]', 'demand_Node_3__demand_Node_3__(230.4, 262.8]']",class__0.0,0.026,0.706,0.214,0.036
"['demand_Node_2__demand_Node_2__(183.6, 234.0]', 'demand_Node_3__demand_Node_3__(262.8, 295.2]']",class__0.0,0.002,0.758,0.261,0.003
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'demand_Node_3__demand_Node_3__(158.4, 230.4]']",class__0.0,0.027,0.622,0.104,0.044
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'demand_Node_3__demand_Node_3__(230.4, 262.8]']",class__0.0,0.075,0.662,0.174,0.114
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'demand_Node_3__demand_Node_3__(262.8, 295.2]']",class__0.0,0.033,0.633,0.122,0.052
"['demand_Node_2__demand_Node_2__(266.4, 295.2]', 'demand_Node_3__demand_Node_3__(230.4, 262.8]']",class__0.0,0.024,0.551,-0.018,0.044
"['demand_Node_2__demand_Node_2__(266.4, 295.2]', 'demand_Node_3__demand_Node_3__(262.8, 295.2]']",class__0.0,0.058,0.561,0.001,0.104
"['demand_Node_2__demand_Node_2__(295.2, 439.2]', 'demand_Node_3__demand_Node_3__(262.8, 295.2]']",class__0.0,0.019,0.462,-0.181,0.042
"['demand_Node_2__demand_Node_2__(183.6, 234.0]', 'demand_Node_22__demand_Node_22__(118.8, 136.8]']",class__0.0,0.023,0.712,0.22,0.032
"['demand_Node_2__demand_Node_2__(183.6, 234.0]', 'demand_Node_22__demand_Node_22__(136.8, 151.2]']",class__0.0,0.001,0.526,-0.061,0.002
"['demand_Node_2__demand_Node_2__(183.6, 234.0]', 'demand_Node_22__demand_Node_22__(82.8, 118.8]']",class__0.0,0.091,0.622,0.116,0.147
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'demand_Node_22__demand_Node_22__(118.8, 136.8]']",class__0.0,0.077,0.656,0.165,0.117
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'demand_Node_22__demand_Node_22__(136.8, 151.2]']",class__0.0,0.023,0.575,0.027,0.041
