antecedents,consequent,support,confidence,zhangs_metric,rule_coverage
"['flow_Link_4__(1504.8, 2124.0]', 'flow_Link_21__(500.4, 770.4]']",leak_label__class_0,0.0,0.0,0.0,0.0
"['flow_Link_4__(2124.0, 2422.8]', 'flow_Link_21__(500.4, 770.4]']",leak_label__class_0,0.0,0.875,0.36,0.0
"['flow_Link_4__(2422.8, 2725.2]', 'flow_Link_21__(500.4, 770.4]']",leak_label__class_0,0.023,0.658,0.154,0.035
"['flow_Link_4__(2725.2, 4982.4]', 'flow_Link_21__(450.0, 500.4]']",leak_label__class_1,0.018,0.85,0.493,0.022
"['flow_Link_4__(1504.8, 2124.0]', 'flow_Link_31__(-403.2, 46.8]']",leak_label__class_0,0.052,1.0,0.464,0.052
"['flow_Link_4__(1504.8, 2124.0]', 'flow_Link_31__(46.8, 61.2]']",leak_label__class_0,0.081,1.0,0.479,0.081
"['flow_Link_4__(1504.8, 2124.0]', 'flow_Link_31__(61.2, 97.2]']",leak_label__class_0,0.0,1.0,0.44,0.0
"['flow_Link_4__(2124.0, 2422.8]', 'flow_Link_31__(-403.2, 46.8]']",leak_label__class_0,0.0,1.0,0.44,0.0
"['flow_Link_4__(2124.0, 2422.8]', 'flow_Link_31__(-471.601, -435.6]']",leak_label__class_1,0.058,1.0,0.595,0.058
"['flow_Link_4__(2124.0, 2422.8]', 'flow_Link_31__(61.2, 97.2]']",leak_label__class_0,0.033,1.0,0.455,0.033
"['flow_Link_4__(2422.8, 2725.2]', 'flow_Link_31__(-403.2, 46.8]']",leak_label__class_0,0.0,0.0,0.0,0.0
"['flow_Link_4__(2422.8, 2725.2]', 'flow_Link_31__(-471.601, -435.6]']",leak_label__class_1,0.019,1.0,0.571,0.019
"['flow_Link_4__(2725.2, 4982.4]', 'flow_Link_31__(-435.6, -403.2]']",leak_label__class_1,0.114,1.0,0.632,0.114
"['flow_Link_4__(1504.8, 2124.0]', 'flow_Link_30__(-248.4, 126.0]']",leak_label__class_0,0.042,1.0,0.459,0.042
"['flow_Link_4__(1504.8, 2124.0]', 'flow_Link_30__(172.8, 262.8]']",leak_label__class_0,0.0,0.0,0.0,0.0
"['flow_Link_4__(2124.0, 2422.8]', 'flow_Link_30__(-248.4, 126.0]']",leak_label__class_0,0.0,0.0,0.0,0.0
"['flow_Link_4__(2124.0, 2422.8]', 'flow_Link_30__(-442.801, -324.0]']",leak_label__class_1,0.056,1.0,0.594,0.056
"['flow_Link_4__(2124.0, 2422.8]', 'flow_Link_30__(172.8, 262.8]']",leak_label__class_0,0.037,1.0,0.457,0.037
"['flow_Link_4__(2422.8, 2725.2]', 'flow_Link_30__(-442.801, -324.0]']",leak_label__class_1,0.014,1.0,0.568,0.014
"['flow_Link_4__(2422.8, 2725.2]', 'flow_Link_30__(172.8, 262.8]']",leak_label__class_0,0.106,1.0,0.492,0.106
