antecedents,consequent,support,confidence,zhangs_metric,rule_coverage
"['pressure_Node_20__(63.33, 64.853]', 'pressure_Node_2__(69.724, 69.791]']",class__0,0.104,0.992,0.486,0.105
"['pressure_Node_20__(63.33, 64.853]', 'pressure_Node_2__(69.791, 69.855]']",class__0,0.0,0.0,-1.0,0.057
"['pressure_Node_20__(59.218, 63.33]', 'pressure_Node_14__(63.218, 65.816]']",class__0,0.0,0.0,-1.0,0.015
"['pressure_Node_20__(63.33, 64.853]', 'pressure_Node_14__(61.052, 63.218]']",class__0,0.093,1.0,0.485,0.093
"['pressure_Node_20__(63.33, 64.853]', 'pressure_Node_14__(63.218, 65.816]']",class__0,0.0,0.0,-1.0,0.05
"['pressure_Node_20__(59.218, 63.33]', 'pressure_Node_28__(23.641, 29.198]']",class__1,0.13,1.0,0.644,0.13
"['pressure_Node_20__(59.218, 63.33]', 'pressure_Node_28__(29.198, 62.325]']",class__0,0.057,0.877,0.386,0.065
"['pressure_Node_20__(59.218, 63.33]', 'pressure_Node_28__(62.325, 64.995]']",class__0,0.0,0.0,0.0,0.0
"['pressure_Node_20__(63.33, 64.853]', 'pressure_Node_28__(23.641, 29.198]']",class__1,0.057,1.0,0.594,0.057
"['pressure_Node_20__(63.33, 64.853]', 'pressure_Node_28__(29.198, 62.325]']",class__0,0.108,0.981,0.482,0.11
"['pressure_Node_20__(63.33, 64.853]', 'pressure_Node_28__(62.325, 64.995]']",class__0,0.031,0.975,0.439,0.032
"['pressure_Node_20__(64.853, 66.435]', 'pressure_Node_28__(23.641, 29.198]']",class__1,0.008,1.0,0.565,0.008
"['pressure_Node_20__(64.853, 66.435]', 'pressure_Node_28__(29.198, 62.325]']",class__0,0.0,0.0,-1.0,0.024
"['pressure_Node_20__(64.853, 66.435]', 'pressure_Node_28__(62.325, 64.995]']",class__0,0.167,0.992,0.524,0.168
"['pressure_Node_20__(59.218, 63.33]', 'pressure_Node_29__(24.883, 31.34]']",class__1,0.13,1.0,0.644,0.13
"['pressure_Node_20__(59.218, 63.33]', 'pressure_Node_29__(31.34, 61.893]']",class__0,0.057,0.877,0.386,0.065
"['pressure_Node_20__(59.218, 63.33]', 'pressure_Node_29__(61.893, 64.72]']",class__0,0.0,0.0,0.0,0.0
"['pressure_Node_20__(63.33, 64.853]', 'pressure_Node_29__(24.883, 31.34]']",class__1,0.057,1.0,0.594,0.057
"['pressure_Node_20__(63.33, 64.853]', 'pressure_Node_29__(31.34, 61.893]']",class__0,0.108,0.982,0.483,0.11
"['pressure_Node_20__(63.33, 64.853]', 'pressure_Node_29__(61.893, 64.72]']",class__0,0.031,0.972,0.438,0.032
"['pressure_Node_20__(64.853, 66.435]', 'pressure_Node_29__(24.883, 31.34]']",class__1,0.008,1.0,0.565,0.008
"['pressure_Node_20__(64.853, 66.435]', 'pressure_Node_29__(31.34, 61.893]']",class__0,0.0,0.0,-1.0,0.024
"['pressure_Node_20__(64.853, 66.435]', 'pressure_Node_29__(61.893, 64.72]']",class__0,0.167,0.993,0.524,0.168
"['pressure_Node_20__(63.33, 64.853]', 'pressure_Node_15__(57.534, 60.977]']",class__0,0.043,1.0,0.459,0.043
"['pressure_Node_20__(63.33, 64.853]', 'pressure_Node_15__(63.149, 65.682]']",class__0,0.0,0.0,-1.0,0.054
"['pressure_Node_20__(63.33, 64.853]', 'pressure_Node_3__(65.474, 66.827]']",class__0,0.033,0.92,0.406,0.036
"['pressure_Node_20__(63.33, 64.853]', 'pressure_Node_1__nan']",class__0,0.139,0.698,0.247,0.199
"['pressure_Node_20__(63.33, 64.853]', 'pressure_Node_17__(62.27, 64.144]']",class__0,0.09,0.997,0.482,0.09
"['pressure_Node_20__(63.33, 64.853]', 'pressure_Node_16__(57.642, 61.064]']",class__0,0.042,0.938,0.421,0.045
"['pressure_Node_20__(63.33, 64.853]', 'pressure_Node_16__(61.064, 63.215]']",class__0,0.097,0.999,0.487,0.097
"['pressure_Node_20__(63.33, 64.853]', 'pressure_Node_4__(63.699, 65.339]']",class__0,0.047,1.0,0.462,0.047
"['pressure_Node_20__(63.33, 64.853]', 'pressure_Node_4__(65.339, 66.449]']",class__0,0.092,1.0,0.484,0.092
"['pressure_Node_20__(63.33, 64.853]', 'pressure_Node_4__(66.449, 67.752]']",class__0,0.0,0.0,-1.0,0.051
"['pressure_Node_20__(63.33, 64.853]', 'pressure_Node_12__(60.775, 62.962]']",class__0,0.062,1.0,0.469,0.062
"['pressure_Node_20__(63.33, 64.853]', 'pressure_Node_12__(62.962, 64.608]']",class__0,0.078,1.0,0.477,0.078
"['pressure_Node_20__(63.33, 64.853]', 'pressure_Node_12__(64.608, 66.806]']",class__0,0.0,0.0,-1.0,0.04
"['pressure_Node_20__(63.33, 64.853]', 'pressure_Node_13__(60.227, 62.492]']",class__0,0.064,1.0,0.47,0.064
"['pressure_Node_20__(63.33, 64.853]', 'pressure_Node_13__(62.492, 64.248]']",class__0,0.075,1.0,0.475,0.075
"['pressure_Node_20__(63.33, 64.853]', 'pressure_Node_13__(64.248, 66.649]']",class__0,0.0,0.0,-1.0,0.038
"['pressure_Node_20__(63.33, 64.853]', 'pressure_Node_5__(64.672, 65.933]']",class__0,0.087,1.0,0.482,0.087
"['pressure_Node_20__(63.33, 64.853]', 'pressure_Node_5__(65.933, 67.476]']",class__0,0.0,0.0,-1.0,0.047
"['pressure_Node_20__(63.33, 64.853]', 'pressure_Node_7__(61.997, 63.931]']",class__0,0.057,1.0,0.466,0.057
"['pressure_Node_20__(63.33, 64.853]', 'pressure_Node_7__(63.931, 65.356]']",class__0,0.082,1.0,0.479,0.082
"['pressure_Node_20__(63.33, 64.853]', 'pressure_Node_7__(65.356, 67.176]']",class__0,0.0,0.0,-1.0,0.044
"['pressure_Node_20__(63.33, 64.853]', 'pressure_Node_11__(60.942, 63.105]']",class__0,0.06,1.0,0.468,0.06
"['pressure_Node_20__(63.33, 64.853]', 'pressure_Node_11__(63.105, 64.718]']",class__0,0.079,1.0,0.477,0.079
"['pressure_Node_20__(63.33, 64.853]', 'pressure_Node_11__(64.718, 66.857]']",class__0,0.0,0.0,-1.0,0.041
"['pressure_Node_20__(63.33, 64.853]', 'pressure_Node_10__(61.122, 63.248]']",class__0,0.059,1.0,0.467,0.059
"['pressure_Node_20__(63.33, 64.853]', 'pressure_Node_10__(63.248, 64.84]']",class__0,0.08,1.0,0.478,0.08
"['pressure_Node_20__(63.33, 64.853]', 'pressure_Node_10__(64.84, 66.914]']",class__0,0.0,0.0,-1.0,0.042
"['pressure_Node_20__(63.33, 64.853]', 'pressure_Node_6__(62.152, 64.055]']",class__0,0.056,1.0,0.466,0.056
"['pressure_Node_20__(63.33, 64.853]', 'pressure_Node_6__(64.055, 65.45]']",class__0,0.083,1.0,0.48,0.083
