antecedents,consequent,support,confidence,zhangs_metric,rule_coverage
"['demand_Node_2__demand_Node_2__(177.12, 242.64]', 'demand_Node_7__demand_Node_7__(380.88, 493.92]']",class__1.0,0.026,0.347,-0.225,0.076
"['demand_Node_2__demand_Node_2__(177.12, 242.64]', 'demand_Node_7__demand_Node_7__(493.92, 606.96]']",class__1.0,0.0,0.0,-1.0,0.0
"['demand_Node_2__demand_Node_2__(242.64, 308.16]', 'demand_Node_7__demand_Node_7__(267.84, 380.88]']",class__1.0,0.006,0.305,-0.31,0.019
"['demand_Node_2__demand_Node_2__(242.64, 308.16]', 'demand_Node_7__demand_Node_7__(380.88, 493.92]']",class__1.0,0.136,0.407,-0.106,0.333
"['demand_Node_2__demand_Node_2__(242.64, 308.16]', 'demand_Node_7__demand_Node_7__(493.92, 606.96]']",class__1.0,0.04,0.638,0.332,0.062
"['demand_Node_2__demand_Node_2__(308.16, 373.68]', 'demand_Node_7__demand_Node_7__(267.84, 380.88]']",class__1.0,0.0,0.0,0.0,0.0
"['demand_Node_2__demand_Node_2__(308.16, 373.68]', 'demand_Node_7__demand_Node_7__(380.88, 493.92]']",class__1.0,0.011,0.496,0.117,0.023
"['demand_Node_2__demand_Node_2__(308.16, 373.68]', 'demand_Node_7__demand_Node_7__(493.92, 606.96]']",class__1.0,0.061,0.662,0.37,0.093
"['demand_Node_2__demand_Node_2__(111.272, 177.12]', 'pressure_Node_20__pressure_Node_20__(62.005, 65.65]']",class__1.0,0.064,1.0,0.599,0.064
"['demand_Node_2__demand_Node_2__(111.272, 177.12]', 'pressure_Node_20__pressure_Node_20__(65.65, 69.295]']",class__1.0,0.006,0.05,-0.899,0.121
"['demand_Node_2__demand_Node_2__(177.12, 242.64]', 'pressure_Node_20__pressure_Node_20__(58.359, 62.005]']",class__1.0,0.04,1.0,0.584,0.04
"['demand_Node_2__demand_Node_2__(177.12, 242.64]', 'pressure_Node_20__pressure_Node_20__(62.005, 65.65]']",class__1.0,0.058,0.647,0.352,0.09
"['demand_Node_2__demand_Node_2__(177.12, 242.64]', 'pressure_Node_20__pressure_Node_20__(65.65, 69.295]']",class__1.0,0.0,0.003,-0.994,0.135
"['demand_Node_2__demand_Node_2__(242.64, 308.16]', 'pressure_Node_20__pressure_Node_20__(58.359, 62.005]']",class__1.0,0.114,0.989,0.628,0.116
"['demand_Node_2__demand_Node_2__(242.64, 308.16]', 'pressure_Node_20__pressure_Node_20__(62.005, 65.65]']",class__1.0,0.004,0.018,-0.969,0.218
"['demand_Node_2__demand_Node_2__(242.64, 308.16]', 'pressure_Node_20__pressure_Node_20__(65.65, 69.295]']",class__1.0,0.0,0.0,-1.0,0.018
"['demand_Node_2__demand_Node_2__(308.16, 373.68]', 'pressure_Node_20__pressure_Node_20__(58.359, 62.005]']",class__1.0,0.002,0.13,-0.708,0.016
"['demand_Node_2__demand_Node_2__(308.16, 373.68]', 'pressure_Node_20__pressure_Node_20__(62.005, 65.65]']",class__1.0,0.0,0.0,-1.0,0.03
"['demand_Node_2__demand_Node_2__(308.16, 373.68]', 'pressure_Node_20__pressure_Node_20__(65.65, 69.295]']",class__0.0,0.0,0.0,0.0,0.0
"['demand_Node_2__demand_Node_2__(111.272, 177.12]', 'flow_Link_9__flow_Link_9__(328.172, 936.72]']",class__1.0,0.066,0.366,-0.198,0.182
"['demand_Node_2__demand_Node_2__(177.12, 242.64]', 'flow_Link_9__flow_Link_9__(328.172, 936.72]']",class__1.0,0.061,0.309,-0.346,0.197
"['demand_Node_2__demand_Node_2__(177.12, 242.64]', 'flow_Link_9__flow_Link_9__(936.72, 1542.24]']",class__1.0,0.032,0.518,0.162,0.062
